x_inc,y_inc,time
1.0,13.0,1508223936452
356.0,11.0,1508223936462
357.0,14.0,1508223936479
356.0,11.0,1508223936489
354.0,9.0,1508223936506
354.0,7.0,1508223936522
351.0,4.0,1508223936538
341.0,0.0,1508223936554
359.0,10.0,1508223936572
359.0,13.0,1508223936597
346.0,10.0,1508223936607
344.0,10.0,1508223936623
340.0,14.0,1508223936639
340.0,21.0,1508223936662
333.0,24.0,1508223936674
332.0,19.0,1508223936686
327.0,18.0,1508223936702
315.0,358.0,1508223936723
320.0,355.0,1508223936735
326.0,3.0,1508223936762
327.0,8.0,1508223936778
330.0,7.0,1508223936788
339.0,7.0,1508223936804
334.0,7.0,1508223936820
339.0,10.0,1508223936836
340.0,11.0,1508223936851
343.0,10.0,1508223936867
342.0,5.0,1508223936884
343.0,355.0,1508223936905
343.0,352.0,1508223936921
344.0,351.0,1508223936937
343.0,354.0,1508223936953
344.0,359.0,1508223936970
342.0,2.0,1508223936996
341.0,2.0,1508223937012
339.0,2.0,1508223937033
337.0,3.0,1508223937049
335.0,4.0,1508223937065
335.0,4.0,1508223937070
332.0,6.0,1508223937094
333.0,7.0,1508223937109
333.0,8.0,1508223937125
333.0,6.0,1508223937141
332.0,3.0,1508223937157
332.0,2.0,1508223937179
332.0,3.0,1508223937195
333.0,6.0,1508223937216
334.0,8.0,1508223937232
334.0,10.0,1508223937242
334.0,11.0,1508223937258
334.0,11.0,1508223937275
334.0,10.0,1508223937292
333.0,7.0,1508223937307
333.0,7.0,1508223937323
334.0,7.0,1508223937351
334.0,6.0,1508223937361
334.0,6.0,1508223937377
333.0,7.0,1508223937394
332.0,7.0,1508223937410
333.0,7.0,1508223937426
333.0,7.0,1508223937447
333.0,7.0,1508223937463
334.0,7.0,1508223937484
334.0,8.0,1508223937506
333.0,8.0,1508223937527
335.0,7.0,1508223937538
333.0,6.0,1508223937553
333.0,7.0,1508223937564
331.0,9.0,1508223937579
330.0,10.0,1508223937590
330.0,12.0,1508223937605
330.0,12.0,1508223937621
330.0,12.0,1508223937637
334.0,12.0,1508223937658
333.0,12.0,1508223937668
333.0,13.0,1508223937683
333.0,13.0,1508223937694
334.0,12.0,1508223937704
334.0,11.0,1508223937719
333.0,9.0,1508223937735
334.0,8.0,1508223937745
334.0,8.0,1508223937761
333.0,8.0,1508223937783
335.0,11.0,1508223937799
335.0,12.0,1508223937814
335.0,12.0,1508223937836
335.0,12.0,1508223937851
334.0,11.0,1508223937874
334.0,9.0,1508223937885
333.0,9.0,1508223937900
333.0,10.0,1508223937911
334.0,11.0,1508223937927
334.0,12.0,1508223937943
334.0,12.0,1508223937964
334.0,13.0,1508223937980
335.0,12.0,1508223937997
335.0,11.0,1508223938013
335.0,11.0,1508223938029
335.0,10.0,1508223938039
335.0,11.0,1508223938055
335.0,11.0,1508223938072
335.0,11.0,1508223938088
335.0,11.0,1508223938098
335.0,12.0,1508223938120
335.0,12.0,1508223938136
335.0,12.0,1508223938158
335.0,11.0,1508223938179
335.0,11.0,1508223938192
335.0,11.0,1508223938212
335.0,11.0,1508223938233
335.0,11.0,1508223938244
334.0,11.0,1508223938264
335.0,12.0,1508223938280
334.0,12.0,1508223938296
334.0,12.0,1508223938307
335.0,11.0,1508223938322
334.0,11.0,1508223938351
334.0,12.0,1508223938374
334.0,12.0,1508223938390
334.0,12.0,1508223938400
334.0,12.0,1508223938416
335.0,12.0,1508223938433
336.0,12.0,1508223938454
336.0,12.0,1508223938475
335.0,11.0,1508223938491
335.0,11.0,1508223938507
334.0,11.0,1508223938535
334.0,12.0,1508223938546
334.0,12.0,1508223938561
334.0,12.0,1508223938578
334.0,12.0,1508223938593
334.0,12.0,1508223938604
334.0,12.0,1508223938624
334.0,11.0,1508223938645
335.0,12.0,1508223938661
336.0,12.0,1508223938682
336.0,10.0,1508223938693
335.0,11.0,1508223938708
335.0,12.0,1508223938719
335.0,13.0,1508223938729
336.0,12.0,1508223938745
335.0,12.0,1508223938755
335.0,12.0,1508223938771
335.0,11.0,1508223938781
335.0,11.0,1508223938797
334.0,11.0,1508223938807
335.0,12.0,1508223938823
335.0,12.0,1508223938834
335.0,12.0,1508223938850
336.0,12.0,1508223938867
336.0,11.0,1508223938883
336.0,11.0,1508223938909
336.0,12.0,1508223938930
335.0,11.0,1508223938951
335.0,11.0,1508223938961
335.0,11.0,1508223938978
335.0,11.0,1508223938999
335.0,12.0,1508223939020
335.0,12.0,1508223939035
336.0,12.0,1508223939051
336.0,12.0,1508223939072
336.0,11.0,1508223939094
336.0,11.0,1508223939109
336.0,12.0,1508223939125
336.0,12.0,1508223939141
336.0,12.0,1508223939162
336.0,12.0,1508223939175
336.0,11.0,1508223939191
336.0,12.0,1508223939206
336.0,12.0,1508223939227
336.0,11.0,1508223939243
336.0,12.0,1508223939259
336.0,12.0,1508223939269
335.0,12.0,1508223939286
335.0,12.0,1508223939301
336.0,12.0,1508223939317
336.0,12.0,1508223939333
336.0,11.0,1508223939355
336.0,12.0,1508223939389
336.0,12.0,1508223939405
336.0,12.0,1508223939420
336.0,12.0,1508223939436
336.0,11.0,1508223939457
336.0,11.0,1508223939474
336.0,12.0,1508223939490
336.0,12.0,1508223939506
336.0,12.0,1508223939528
336.0,12.0,1508223939549
336.0,12.0,1508223939560
336.0,12.0,1508223939576
336.0,12.0,1508223939586
336.0,12.0,1508223939602
336.0,11.0,1508223939623
336.0,11.0,1508223939639
336.0,12.0,1508223939655
336.0,12.0,1508223939686
336.0,12.0,1508223939706
336.0,12.0,1508223939727
336.0,12.0,1508223939745
336.0,12.0,1508223939756
336.0,11.0,1508223939772
336.0,11.0,1508223939788
336.0,11.0,1508223939804
337.0,12.0,1508223939827
337.0,11.0,1508223939843
335.0,10.0,1508223939854
336.0,13.0,1508223939869
336.0,14.0,1508223939880
337.0,14.0,1508223939895
337.0,13.0,1508223939906
336.0,14.0,1508223939921
336.0,12.0,1508223939944
335.0,11.0,1508223939962
336.0,11.0,1508223939977
337.0,11.0,1508223939993
337.0,11.0,1508223940009
337.0,11.0,1508223940019
337.0,12.0,1508223940035
337.0,12.0,1508223940051
337.0,12.0,1508223940069
336.0,12.0,1508223940085
336.0,12.0,1508223940100
336.0,13.0,1508223940116
335.0,12.0,1508223940132
336.0,13.0,1508223940148
336.0,12.0,1508223940164
336.0,12.0,1508223940186
337.0,11.0,1508223940202
336.0,12.0,1508223940217
337.0,12.0,1508223940234
337.0,12.0,1508223940255
337.0,13.0,1508223940277
337.0,13.0,1508223940292
337.0,12.0,1508223940314
337.0,11.0,1508223940324
336.0,12.0,1508223940356
336.0,12.0,1508223940366
336.0,13.0,1508223940383
337.0,12.0,1508223940404
337.0,12.0,1508223940420
337.0,12.0,1508223940442
337.0,12.0,1508223940458
337.0,12.0,1508223940479
337.0,12.0,1508223940495
337.0,12.0,1508223940505
337.0,12.0,1508223940521
337.0,12.0,1508223940537
337.0,13.0,1508223940558
337.0,12.0,1508223940584
337.0,12.0,1508223940596
337.0,11.0,1508223940612
337.0,12.0,1508223940629
337.0,12.0,1508223940640
337.0,13.0,1508223940656
337.0,12.0,1508223940677
337.0,12.0,1508223940693
337.0,12.0,1508223940709
337.0,12.0,1508223940719
337.0,12.0,1508223940736
337.0,12.0,1508223940763
337.0,12.0,1508223940785
337.0,12.0,1508223940800
337.0,12.0,1508223940822
337.0,12.0,1508223940837
337.0,13.0,1508223940853
337.0,12.0,1508223940876
337.0,12.0,1508223940891
337.0,12.0,1508223940907
337.0,12.0,1508223940928
337.0,12.0,1508223940949
337.0,12.0,1508223940965
337.0,12.0,1508223940992
337.0,13.0,1508223941003
337.0,10.0,1508223941019
335.0,11.0,1508223941029
335.0,12.0,1508223941044
334.0,13.0,1508223941060
336.0,14.0,1508223941070
336.0,13.0,1508223941086
336.0,13.0,1508223941102
336.0,11.0,1508223941117
336.0,11.0,1508223941139
337.0,12.0,1508223941149
337.0,12.0,1508223941170
337.0,12.0,1508223941183
338.0,12.0,1508223941196
337.0,12.0,1508223941206
336.0,11.0,1508223941222
336.0,11.0,1508223941234
336.0,12.0,1508223941249
336.0,12.0,1508223941260
335.0,12.0,1508223941277
335.0,13.0,1508223941289
336.0,13.0,1508223941304
335.0,13.0,1508223941315
336.0,13.0,1508223941330
336.0,12.0,1508223941346
337.0,12.0,1508223941368
337.0,12.0,1508223941384
338.0,12.0,1508223941411
337.0,12.0,1508223941427
337.0,11.0,1508223941437
336.0,12.0,1508223941459
336.0,12.0,1508223941481
337.0,12.0,1508223941502
337.0,12.0,1508223941512
336.0,12.0,1508223941528
337.0,12.0,1508223941549
337.0,12.0,1508223941565
337.0,12.0,1508223941587
338.0,12.0,1508223941597
337.0,11.0,1508223941608
337.0,12.0,1508223941624
337.0,12.0,1508223941645
336.0,12.0,1508223941671
335.0,12.0,1508223941687
335.0,11.0,1508223941703
335.0,12.0,1508223941713
336.0,12.0,1508223941729
336.0,11.0,1508223941744
335.0,11.0,1508223941766
335.0,11.0,1508223941782
335.0,11.0,1508223941793
335.0,11.0,1508223941803
335.0,12.0,1508223941819
335.0,12.0,1508223941829
335.0,13.0,1508223941851
335.0,13.0,1508223941867
336.0,12.0,1508223941894
336.0,12.0,1508223941905
336.0,12.0,1508223941926
335.0,12.0,1508223941941
335.0,12.0,1508223941957
336.0,13.0,1508223941973
336.0,13.0,1508223941989
336.0,12.0,1508223942000
336.0,12.0,1508223942015
336.0,12.0,1508223942031
336.0,12.0,1508223942047
336.0,12.0,1508223942068
336.0,12.0,1508223942090
336.0,13.0,1508223942105
336.0,13.0,1508223942121
336.0,13.0,1508223942142
336.0,13.0,1508223942164
336.0,13.0,1508223942196
336.0,13.0,1508223942206
336.0,13.0,1508223942222
336.0,13.0,1508223942238
336.0,13.0,1508223942253
337.0,13.0,1508223942280
336.0,12.0,1508223942302
336.0,12.0,1508223942312
337.0,12.0,1508223942328
336.0,12.0,1508223942343
336.0,13.0,1508223942359
336.0,13.0,1508223942375
336.0,13.0,1508223942396
336.0,13.0,1508223942412
336.0,13.0,1508223942428
336.0,13.0,1508223942444
336.0,13.0,1508223942464
336.0,13.0,1508223942480
336.0,12.0,1508223942497
336.0,13.0,1508223942514
337.0,13.0,1508223942529
336.0,13.0,1508223942545
336.0,13.0,1508223942566
336.0,14.0,1508223942588
336.0,14.0,1508223942599
336.0,13.0,1508223942621
336.0,13.0,1508223942637
336.0,13.0,1508223942659
336.0,13.0,1508223942671
336.0,13.0,1508223942692
336.0,13.0,1508223942725
336.0,13.0,1508223942741
337.0,13.0,1508223942759
335.0,12.0,1508223942769
337.0,15.0,1508223942784
339.0,15.0,1508223942795
337.0,13.0,1508223942810
337.0,13.0,1508223942820
337.0,13.0,1508223942836
337.0,13.0,1508223942847
336.0,13.0,1508223942862
337.0,14.0,1508223942878
337.0,13.0,1508223942889
338.0,13.0,1508223942904
338.0,13.0,1508223942919
337.0,13.0,1508223942951
337.0,13.0,1508223942967
336.0,13.0,1508223942984
337.0,13.0,1508223943002
337.0,14.0,1508223943018
337.0,14.0,1508223943028
336.0,14.0,1508223943044
336.0,13.0,1508223943065
336.0,13.0,1508223943091
336.0,13.0,1508223943107
336.0,13.0,1508223943122
336.0,14.0,1508223943143
336.0,14.0,1508223943159
336.0,13.0,1508223943180
336.0,13.0,1508223943192
336.0,13.0,1508223943214
336.0,13.0,1508223943230
337.0,14.0,1508223943241
337.0,13.0,1508223943257
337.0,13.0,1508223943280
337.0,13.0,1508223943296
336.0,13.0,1508223943316
337.0,13.0,1508223943332
336.0,13.0,1508223943343
336.0,14.0,1508223943359
336.0,14.0,1508223943375
337.0,14.0,1508223943391
337.0,13.0,1508223943407
336.0,13.0,1508223943428
337.0,13.0,1508223943449
336.0,13.0,1508223943476
337.0,13.0,1508223943499
337.0,14.0,1508223943520
336.0,13.0,1508223943535
336.0,13.0,1508223943546
336.0,13.0,1508223943562
336.0,13.0,1508223943583
336.0,13.0,1508223943604
337.0,14.0,1508223943616
337.0,13.0,1508223943633
337.0,13.0,1508223943643
336.0,13.0,1508223943662
336.0,13.0,1508223943691
336.0,14.0,1508223943711
336.0,13.0,1508223943735
337.0,14.0,1508223943756
336.0,13.0,1508223943772
337.0,13.0,1508223943788
336.0,14.0,1508223943804
336.0,13.0,1508223943814
336.0,14.0,1508223943830
336.0,13.0,1508223943845
336.0,14.0,1508223943861
336.0,13.0,1508223943882
337.0,14.0,1508223943905
337.0,13.0,1508223943921
336.0,13.0,1508223943937
336.0,13.0,1508223943959
336.0,14.0,1508223943981
336.0,13.0,1508223943997
336.0,13.0,1508223944007
336.0,13.0,1508223944033
337.0,13.0,1508223944059
337.0,14.0,1508223944075
337.0,14.0,1508223944091
337.0,14.0,1508223944108
337.0,14.0,1508223944128
337.0,13.0,1508223944145
336.0,13.0,1508223944166
336.0,13.0,1508223944177
336.0,14.0,1508223944206
336.0,14.0,1508223944222
336.0,14.0,1508223944236
336.0,14.0,1508223944252
336.0,14.0,1508223944274
336.0,14.0,1508223944295
335.0,14.0,1508223944312
335.0,14.0,1508223944329
335.0,14.0,1508223944345
335.0,14.0,1508223944366
334.0,15.0,1508223944387
334.0,14.0,1508223944415
334.0,14.0,1508223944436
334.0,14.0,1508223944464
334.0,14.0,1508223944485
333.0,14.0,1508223944501
333.0,14.0,1508223944518
333.0,14.0,1508223944539
332.0,14.0,1508223944560
332.0,14.0,1508223944587
333.0,15.0,1508223944598
333.0,14.0,1508223944619
333.0,14.0,1508223944635
333.0,14.0,1508223944645
332.0,14.0,1508223944667
332.0,14.0,1508223944688
333.0,13.0,1508223944701
333.0,14.0,1508223944717
333.0,14.0,1508223944735
334.0,15.0,1508223944752
333.0,13.0,1508223944767
332.0,14.0,1508223944778
332.0,14.0,1508223944789
332.0,14.0,1508223944804
332.0,14.0,1508223944815
331.0,14.0,1508223944825
331.0,15.0,1508223944842
331.0,15.0,1508223944852
331.0,15.0,1508223944864
331.0,14.0,1508223944875
331.0,14.0,1508223944891
333.0,14.0,1508223944902
333.0,13.0,1508223944917
333.0,13.0,1508223944939
333.0,14.0,1508223944960
333.0,13.0,1508223944977
333.0,13.0,1508223944998
333.0,13.0,1508223945014
333.0,14.0,1508223945041
333.0,14.0,1508223945063
332.0,13.0,1508223945091
332.0,13.0,1508223945140
332.0,13.0,1508223945155
332.0,14.0,1508223945171
332.0,14.0,1508223945182
332.0,14.0,1508223945198
332.0,14.0,1508223945219
332.0,14.0,1508223945241
332.0,14.0,1508223945269
332.0,14.0,1508223945280
332.0,14.0,1508223945295
332.0,14.0,1508223945311
331.0,14.0,1508223945328
331.0,13.0,1508223945344
331.0,14.0,1508223945366
331.0,14.0,1508223945381
331.0,14.0,1508223945397
331.0,14.0,1508223945414
331.0,15.0,1508223945435
331.0,15.0,1508223945451
331.0,14.0,1508223945467
332.0,14.0,1508223945493
332.0,13.0,1508223945509
332.0,13.0,1508223945525
332.0,13.0,1508223945541
332.0,14.0,1508223945558
333.0,14.0,1508223945573
332.0,14.0,1508223945589
333.0,14.0,1508223945605
333.0,13.0,1508223945631
333.0,13.0,1508223945642
333.0,13.0,1508223945658
333.0,13.0,1508223945668
333.0,13.0,1508223945684
334.0,13.0,1508223945700
333.0,13.0,1508223945722
333.0,13.0,1508223945749
333.0,13.0,1508223945766
332.0,13.0,1508223945781
332.0,13.0,1508223945802
333.0,14.0,1508223945823
333.0,14.0,1508223945834
333.0,14.0,1508223945854
333.0,13.0,1508223945876
332.0,13.0,1508223945887
333.0,13.0,1508223945902
333.0,13.0,1508223945924
333.0,13.0,1508223945945
333.0,13.0,1508223945961
332.0,13.0,1508223945977
333.0,13.0,1508223946003
333.0,13.0,1508223946025
333.0,13.0,1508223946041
333.0,13.0,1508223946057
333.0,13.0,1508223946073
334.0,13.0,1508223946099
334.0,12.0,1508223946121
334.0,12.0,1508223946138
334.0,13.0,1508223946159
334.0,13.0,1508223946169
333.0,12.0,1508223946185
334.0,13.0,1508223946208
334.0,13.0,1508223946230
334.0,13.0,1508223946252
334.0,13.0,1508223946268
334.0,13.0,1508223946283
334.0,13.0,1508223946305
335.0,13.0,1508223946320
334.0,12.0,1508223946343
335.0,12.0,1508223946353
334.0,13.0,1508223946375
334.0,12.0,1508223946393
335.0,13.0,1508223946409
335.0,12.0,1508223946424
335.0,12.0,1508223946436
335.0,13.0,1508223946459
335.0,13.0,1508223946475
335.0,13.0,1508223946491
335.0,13.0,1508223946508
334.0,13.0,1508223946536
334.0,13.0,1508223946552
334.0,13.0,1508223946568
334.0,13.0,1508223946589
334.0,13.0,1508223946605
334.0,13.0,1508223946633
334.0,13.0,1508223946649
334.0,13.0,1508223946670
334.0,13.0,1508223946682
334.0,13.0,1508223946697
335.0,13.0,1508223946719
335.0,13.0,1508223946741
334.0,13.0,1508223946762
334.0,13.0,1508223946783
334.0,13.0,1508223946799
334.0,13.0,1508223946814
334.0,13.0,1508223946830
334.0,13.0,1508223946851
334.0,14.0,1508223946866
334.0,13.0,1508223946882
334.0,13.0,1508223946899
334.0,13.0,1508223946920
334.0,13.0,1508223946941
334.0,13.0,1508223946956
334.0,13.0,1508223946967
334.0,14.0,1508223946982
335.0,13.0,1508223946998
335.0,13.0,1508223947014
335.0,13.0,1508223947036
335.0,13.0,1508223947056
335.0,13.0,1508223947068
334.0,13.0,1508223947089
334.0,13.0,1508223947104
334.0,13.0,1508223947128
334.0,13.0,1508223947149
334.0,13.0,1508223947170
335.0,13.0,1508223947202
335.0,13.0,1508223947218
335.0,13.0,1508223947240
335.0,13.0,1508223947255
335.0,13.0,1508223947271
334.0,13.0,1508223947287
334.0,13.0,1508223947308
334.0,13.0,1508223947336
334.0,13.0,1508223947353
335.0,13.0,1508223947363
334.0,13.0,1508223947378
335.0,14.0,1508223947389
334.0,13.0,1508223947404
334.0,13.0,1508223947415
334.0,13.0,1508223947430
333.0,13.0,1508223947446
334.0,14.0,1508223947461
334.0,13.0,1508223947477
335.0,13.0,1508223947499
335.0,13.0,1508223947509
335.0,13.0,1508223947542
335.0,12.0,1508223947557
335.0,13.0,1508223947567
335.0,13.0,1508223947583
334.0,13.0,1508223947599
334.0,14.0,1508223947620
334.0,14.0,1508223947631
334.0,14.0,1508223947650
335.0,13.0,1508223947670
335.0,13.0,1508223947681
335.0,13.0,1508223947699
335.0,13.0,1508223947709
335.0,13.0,1508223947725
335.0,13.0,1508223947746
334.0,13.0,1508223947763
334.0,13.0,1508223947796
334.0,13.0,1508223947816
334.0,13.0,1508223947833
334.0,13.0,1508223947849
335.0,13.0,1508223947864
335.0,13.0,1508223947880
335.0,13.0,1508223947896
335.0,12.0,1508223947913
335.0,12.0,1508223947923
335.0,12.0,1508223947940
334.0,13.0,1508223947950
334.0,13.0,1508223947966
334.0,14.0,1508223947974
334.0,14.0,1508223947989
334.0,14.0,1508223948005
334.0,14.0,1508223948015
334.0,14.0,1508223948032
334.0,13.0,1508223948042
335.0,13.0,1508223948064
335.0,13.0,1508223948079
335.0,12.0,1508223948101
335.0,13.0,1508223948118
334.0,13.0,1508223948128
334.0,14.0,1508223948144
333.0,14.0,1508223948155
335.0,15.0,1508223948175
335.0,13.0,1508223948197
336.0,10.0,1508223948219
337.0,7.0,1508223948251
338.0,7.0,1508223948268
338.0,6.0,1508223948284
337.0,7.0,1508223948299
338.0,9.0,1508223948316
336.0,10.0,1508223948333
336.0,11.0,1508223948349
334.0,11.0,1508223948369
334.0,11.0,1508223948380
334.0,11.0,1508223948395
334.0,10.0,1508223948418
335.0,11.0,1508223948441
336.0,11.0,1508223948457
335.0,13.0,1508223948478
336.0,13.0,1508223948509
333.0,11.0,1508223948520
333.0,9.0,1508223948542
333.0,7.0,1508223948558
330.0,6.0,1508223948574
327.0,13.0,1508223948595
323.0,21.0,1508223948611
319.0,22.0,1508223948632
317.0,19.0,1508223948643
322.0,25.0,1508223948658
325.0,21.0,1508223948669
324.0,15.0,1508223948684
324.0,10.0,1508223948700
321.0,1.0,1508223948721
319.0,356.0,1508223948739
316.0,354.0,1508223948755
317.0,357.0,1508223948765
318.0,2.0,1508223948781
318.0,8.0,1508223948797
316.0,4.0,1508223948824
320.0,3.0,1508223948840
320.0,4.0,1508223948856
318.0,7.0,1508223948871
319.0,8.0,1508223948887
314.0,5.0,1508223948908
313.0,14.0,1508223948929
312.0,15.0,1508223948950
310.0,16.0,1508223948961
314.0,18.0,1508223948976
314.0,20.0,1508223948993
313.0,20.0,1508223949009
311.0,29.0,1508223949030
318.0,30.0,1508223949047
319.0,34.0,1508223949073
316.0,39.0,1508223949089
314.0,39.0,1508223949100
314.0,33.0,1508223949116
317.0,29.0,1508223949137
321.0,30.0,1508223949148
321.0,31.0,1508223949165
316.0,33.0,1508223949180
314.0,34.0,1508223949201
311.0,34.0,1508223949216
309.0,32.0,1508223949239
308.0,27.0,1508223949255
304.0,17.0,1508223949271
292.0,341.0,1508223949294
301.0,23.0,1508223949310
298.0,51.0,1508223949333
299.0,19.0,1508223949349
306.0,28.0,1508223949360
323.0,28.0,1508223949375
323.0,30.0,1508223949391
318.0,5.0,1508223949413
324.0,13.0,1508223949457
322.0,16.0,1508223949473
325.0,16.0,1508223949495
326.0,12.0,1508223949511
326.0,9.0,1508223949528
325.0,9.0,1508223949545
318.0,2.0,1508223949572
317.0,2.0,1508223949588
312.0,4.0,1508223949609
313.0,6.0,1508223949630
315.0,2.0,1508223949648
316.0,359.0,1508223949664
317.0,359.0,1508223949679
316.0,358.0,1508223949700
315.0,359.0,1508223949716
