bPressT,bPage,bTime,aPage,aTime
1508224259686,116,1508224254034,117,1508224261369
1508224262477,117,1508224262560,118,1508224265775
1508224273871,118,1508224273913,119,1508224278827
1508224282517,119,1508224282560,120,1508224285847
1508224287455,120,1508224287551,121,1508224289152
1508224290647,121,1508224287551,122,1508224290683
1508224291563,122,1508224287551,123,1508224291656
1508224292434,123,1508224287551,124,1508224292486
1508224293826,124,1508224287551,125,1508224293914
1508224295066,125,1508224287551,126,1508224295170
1508224296300,126,1508224287551,127,1508224296378
1508224297883,127,1508224287551,128,1508224297966
1508224299394,128,1508224299483,129,1508224299684
1508224300700,129,1508224300778,130,1508224301294
1508224305654,130,1508224305701,131,1508224306501
1508224308800,131,1508224308859,130,1508224309724
1508224313761,130,1508224313829,129,1508224314349
1508224315290,129,1508224315342,130,1508224315946
1508224326193,130,1508224326271,131,1508224327079
1508224328595,131,1508224328673,132,1508224329170
1508224332828,132,1508224332879,133,1508224333179
1508224335399,133,1508224332879,134,1508224335487
1508224336327,134,1508224332879,135,1508224336405
1508224337043,135,1508224332879,136,1508224337110
1508224337659,136,1508224332879,137,1508224337710
1508224338945,137,1508224332879,138,1508224339004
1508224339786,138,1508224332879,139,1508224339837
1508224340374,139,1508224332879,140,1508224340433
1508224341055,140,1508224332879,141,1508224341118
1508224341888,141,1508224332879,142,1508224341914
1508224342512,142,1508224332879,143,1508224342611
1508224343113,143,1508224332879,144,1508224343209
1508224343684,144,1508224332879,145,1508224343725
1508224344380,145,1508224332879,146,1508224344427
1508224345061,146,1508224332879,147,1508224345123
1508224345636,147,1508224332879,148,1508224345724
1508224346133,148,1508224332879,149,1508224346222
1508224346680,149,1508224332879,150,1508224346726
1508224347306,150,1508224332879,151,1508224347337
1508224348114,151,1508224332879,152,1508224348140
1508224348739,152,1508224332879,153,1508224348827
1508224349433,153,1508224332879,154,1508224349527
1508224350024,154,1508224332879,155,1508224350064
1508224350562,155,1508224332879,156,1508224350641
1508224351207,156,1508224332879,157,1508224351258
1508224351818,157,1508224332879,158,1508224351888
1508224352359,158,1508224332879,159,1508224352438
1508224352952,159,1508224332879,160,1508224353038
1508224353576,160,1508224332879,161,1508224353632
1508224354810,161,1508224332879,162,1508224354867
1508224355388,162,1508224332879,163,1508224355446
1508224356499,163,1508224332879,164,1508224356567
1508224357863,164,1508224332879,165,1508224357957
1508224359446,165,1508224332879,166,1508224359477
1508224360284,166,1508224332879,167,1508224360368
1508224361515,167,1508224332879,168,1508224361562
1508224362519,168,1508224362579,169,1508224363785
1508224364327,169,1508224364373,170,1508224366792
1508224367456,170,1508224367496,171,1508224371097
1508224371430,171,1508224371493,172,1508224373914
1508224374426,172,1508224374500,173,1508224375714
1508224376766,173,1508224374500,174,1508224376844
1508224378423,174,1508224378522,175,1508224378729
1508224379923,175,1508224380019,176,1508224380520
1508224381614,176,1508224381659,177,1508224382531
1508224391503,177,1508224391551,178,1508224392160
1508224394268,178,1508224394346,179,1508224394655
1508224395477,179,1508224394346,180,1508224395561
1508224396466,180,1508224394346,181,1508224396563
1508224397772,181,1508224394346,182,1508224397855
1508224399122,182,1508224394346,183,1508224399184
1508224399958,183,1508224394346,184,1508224400026
1508224401220,184,1508224394346,185,1508224401267
1508224402094,185,1508224402177,186,1508224402481
1508224403621,186,1508224403678,187,1508224404379
1508224405146,187,1508224405223,188,1508224406294
1508224407037,188,1508224407079,189,1508224407804
1508224408521,189,1508224408593,190,1508224408896
1508224409748,190,1508224408593,191,1508224409813
1508224410512,191,1508224408593,192,1508224410589
